Pid,Latitude,Longitude,TN/%,TP/%,SOC  g/kg,Clay/%,Silt/%,Sand/%,NO3--N  g/kg   ,NH4+-N  g/kg,N/P,Coverage/%,Slope/o,Aspect/o,Altitude/m,Soil type,Land use,Position
WYQ001,4300829.996,705431.889,0.109381707,0.315775457,2.779207563,0.81684,13.049304,85.792048,9.1875,49.15,0.34639078,25,2,0,1075.509,Warp soil,Shrub land,Gully
WYQ002,4300752.256,705462.625,0.092252749,0.276893174,1.61344269,0.110693,5.877381,89.629099,5.375,39.5125,0.333170904,20,2,0,1066.533,Warp soil,Shrub land,Gully
WYQ003,4300651.909,705451.522,0.255160383,0.396637485,9.29173835,1.310971,18.009173,80.615017,6.1375,36.9,0.643308795,20,2,0,1068.756,Warp soil,Shrub land,Gully
WYQ004,4300545.79,705439.622,0.154978343,0.289633425,4.126007908,1.313521,15.660795,69.888786,6.45,42.225,0.535084453,15,2,0,1070.929,Warp soil,Shrub land,Gully
WYQ005,4300465.027,705444.063,0.202807274,0.356149949,5.795654988,2.151067,22.252223,64.570723,16.6875,38.275,0.569443501,15,2,0,1074.696,Warp soil,Shrub land,Gully
WYQ006,4300369.658,705484.829,0.109958658,0.252944281,2.043728826,0.335551,9.092132,89.947564,11.0625,35.3,0.434714941,15,1,0,1076.336,Warp soil,Shrub land,Gully
WYQ007,4300259.376,705463.374,0.201548372,0.329662596,6.895535971,1.046108,13.450371,75.955844,10,41.5,0.611377737,10,2,0,1078.269,Warp soil,Cropland,Gully
WYQ008,4300167.502,705468.835,0.359278894,0.304241005,16.42302501,1.957946,21.836845,63.728129,15.7375,39.4625,1.180902272,5,2,0,1079.82,Aeolian sand soil,Cropland,Gully
WYQ009,4300045.267,705500.088,0.18379566,0.324935717,4.11166567,0.021057,4.151378,95.827565,10.5875,34.8625,0.565636988,10,22,318,1082.412,Warp soil,Abandoned land,Gully
WYQ010,4300059.92,705555.289,0.776813121,0.458359122,17.27096189,2.840421,35.535444,61.580887,21.3875,43.825,1.694769634,5,0,0,1096.011,Aeolian sand soil,Grassland,Top
WYQ011,4298381.244,705386.43,0.499224428,0.702577886,5.209741306,18.10847,53.609593,28.244731,5.2125,35.4,0.710560975,10,13,301,1159.882,Red loessal soil,Grassland,Middle slope
WYQ012,4300143.82,705565.983,0.144935235,0.257593046,0.75865082,0.786732,14.846295,84.221707,5.675,37.1125,0.562651971,25,5,355,1091.121,Aeolian sand soil,Grassland,Up slope
WYQ013,4298258.433,705269.181,0.391628391,0.524941718,3.401576236,2.768883,33.297345,63.933772,4.1,31.85,0.74604166,20,15,48,1190.784,Aeolian sand soil,Cropland,Up slope
WYQ014,4298233.217,705366.376,0.201176991,0.287475141,1.637132387,0.339599,9.3551,90.305302,5.325,41.8625,0.699806565,30,20,38,1191.697,Aeolian sand soil,Abandoned land,Up slope
WYQ015,4298166.297,705386.881,0.412354367,0.379700578,2.993535054,3.34196,41.694527,54.963513,17.375,37.8,1.085998788,25,12,80,1199.402,Aeolian sand soil,Cropland,Middle slope
WYQ016,4298171.731,705470.063,0.300414804,0.422189415,2.72224678,1.796509,28.219223,69.361985,14.45,35.825,0.711564035,20,2,42,1190.24,Aeolian sand soil,Cropland,Middle slope
